,pclass,survived,gender,age,sibsp,parch,fare,cabin,embarked,boat,body,home.dest
0,1,1,female,29.0,0,0,211.34,B5,S,2,,"St Louis, MO"
1,1,1,male,0.9167,1,2,151.55,C22 C26,S,11,,"Montreal, PQ / Chesterville, ON"
2,1,0,female,2.0,1,2,151.55,C22 C26,S,,,"Montreal, PQ / Chesterville, ON"
3,1,0,male,30.0,1,2,151.55,C22 C26,S,,135.0,"Montreal, PQ / Chesterville, ON"
4,1,0,female,25.0,1,2,151.55,C22 C26,S,,,"Montreal, PQ / Chesterville, ON"
5,1,1,male,48.0,0,0,26.55,E12,S,3,,"New York, NY"
6,1,1,female,63.0,1,0,77.96,D7,S,10,,"Hudson, NY"
7,1,0,male,39.0,0,0,0.0,A36,S,,,"Belfast, NI"
8,1,1,female,53.0,2,0,51.48,C101,S,D,,"Bayside, Queens, NY"
9,1,0,male,71.0,0,0,49.5,,C,,22.0,"Montevideo, Uruguay"
10,1,0,male,47.0,1,0,227.53,C62 C64,C,,124.0,"New York, NY"
11,1,1,female,18.0,1,0,227.53,C62 C64,C,4,,"New York, NY"
12,1,1,female,24.0,0,0,69.3,B35,C,9,,"Paris, France"
13,1,1,female,26.0,0,0,78.85,,S,6,,
14,1,1,male,80.0,0,0,30.0,A23,S,B,,"Hessle, Yorks"
15,1,0,male,,0,0,25.93,,S,,,"New York, NY"
16,1,0,male,24.0,0,1,247.52,B58 B60,C,,,"Montreal, PQ"
17,1,1,female,50.0,0,1,247.52,B58 B60,C,6,,"Montreal, PQ"
18,1,1,female,32.0,0,0,76.29,D15,C,8,,
19,1,0,male,36.0,0,0,75.24,C6,C,A,,"Winnipeg, MN"
20,1,1,male,37.0,1,1,52.55,D35,S,5,,"New York, NY"
21,1,1,female,47.0,1,1,52.55,D35,S,5,,"New York, NY"
22,1,1,male,26.0,0,0,30.0,C148,C,5,,"New York, NY"
23,1,1,female,42.0,0,0,227.53,,C,4,,
24,1,1,female,29.0,0,0,221.78,C97,S,8,,
25,1,0,male,25.0,0,0,26.0,,C,,148.0,"San Francisco, CA"
26,1,1,male,25.0,1,0,91.08,B49,C,7,,"Dowagiac, MI"
27,1,1,female,19.0,1,0,91.08,B49,C,7,,"Dowagiac, MI"
28,1,1,female,35.0,0,0,135.63,C99,S,8,,
